Shoes Table Data for Excel,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
shoeID,categoryID,name,brandID,price,releaseDate,description,material,gender,image_url,size_range,colour,Upref_stores
12,3,Air Max SC,1,829.99,2024/01/25,Clean and classic design inspired by heritage running shoes,Synthetic Leather,Male,https://i.pinimg.com/736x/e9/05/e2/e905e2afd70ef5cce74fd3f9f620c4b2.jpg,12-Jul,Black/White,1
13,3,Leather Loafers,12,4999.99,2024/03/01,Luxury Italian leather loafers with classic design,Premium Leather,Male,https://i.pinimg.com/736x/cb/e8/0f/cbe80fee1c1691862b64dcb9d18d2c30.jpg,11-Jul,Black,2
14,3,Sling Pump,12,1899.99,2024/02/14,Sophisticated slingback pumps with designer styling,Leather,Female,https://i.pinimg.com/736x/8c/bf/95/8cbf9503abb8756dd73fadcc6141a108.jpg,10-May,Black,3
15,3,Leather Pumps,12,2299.99,2024/03/05,Elegant black leather pumps with pointed toe and mid-height heel,Leather,Female,https://i.pinimg.com/736x/41/fa/3c/41fa3cae913a958a538cb0eb19f7c123.jpg,10-May,Black,4
16,3,Gemari Oxford Shoes,12,1599.99,2024/02/20,Classic leather oxford shoes with traditional lace-up design,Leather,Male,https://i.pinimg.com/736x/42/a9/32/42a932917e9c1f01d39bd24183236a06.jpg,12-Jul,Brown,5
17,3,Las-Botas Boots,12,759.99,2024/02/25,"sleek black design, a high heel for added height",Leather,Female,https://i.pinimg.com/736x/51/fb/12/51fb129cccfa3e16173f8bd3b90c7a8e.jpg,10-May,Black,6
18,4,Chuck Taylor All Star,13,699.99,2024/01/20,Classic canvas sneaker with timeless design,Canvas,Prefer not to say,https://i.pinimg.com/736x/da/cf/cc/dacfcc62ec4e03af6a55591144df3d7e.jpg,13-Apr,White,6
19,4,Old Skool Sneakers,10,849.99,2024/02/25,Iconic skate shoe with waffle outsole and side stripe,Canvas/Suede,Male,https://i.pinimg.com/736x/9f/a1/57/9fa157575229b152b33416330f212fcc.jpg,12-Jun,Black/White,7
20,4,Gazelle Bold,2,1299.99,2024/03/10,Elevated version of iconic Gazelle with platform sole,Suede,Female,https://i.pinimg.com/736x/fe/b6/14/feb614b486afe70a2ab101b357f45dc8.jpg,10-May,Pink,8
21,4,Dunk Low SP,1,1599.99,2024/02/05,Basketball-inspired sneaker with premium leather construction,Leather,Male,https://i.pinimg.com/736x/e9/e9/50/e9e950a61366d470be18ff089e49ee36.jpg,12-Jul,White/Red,9
22,4,302 Court Sneakers,4,999.99,2024/01/18,Classic court-inspired sneakers with vintage aesthetics,Leather/Synthetic,Female,https://i.pinimg.com/736x/d7/a9/0a/d7a90acc098188bcf1b5854697bf466a.jpg,10-May,White/Blue,10
23,4,Samba XLG,2,1199.99,2024/03/12,Oversized version of classic Samba with bold proportions,Leather/Suede,Male,https://i.pinimg.com/736x/b5/f2/51/b5f25103a678753ac01986eab88bd9e0.jpg,12-Jul,Black/White,1
24,5,UGG-Classic Mini,12,1999.99,2024/01/30,Iconic sheepskin boots offering warmth and comfort,Sheepskin,Female,https://i.pinimg.com/736x/76/da/88/76da887ff96fc0091c9b7c7a2b657f02.jpg,10-May,Chestnut,2
25,5,Betty Black Ankle Boots,12,1599.99,2024/02/15,Stylish black ankle boots with premium leather construction,Leather,Female,https://i.pinimg.com/736x/55/17/9a/55179a2a7d46fa89e1c26d4e07331339.jpg,10-Jun,Black,3
26,5,Zara Leather Boots,12,1799.99,2024/03/05,Contemporary leather boots with modern silhouette,Leather,Female,https://i.pinimg.com/736x/26/88/b5/2688b54491c99cb45ec46f8938741455.jpg,10-May,Brown,4
27,5,White Combat Boots,12,1299.99,2024/02/22,Trendy white leather combat boots with lace-up design,Leather,Prefer not to say,https://i.pinimg.com/736x/41/4d/f8/414df878b1c8413564dead9c5d22d0fa.jpg,11-Jun,White,5
28,5,Zet-Zair Premium,12,1365.99,2024/01/18,6-inch Lace Up Waterproof Boot was built for it all,Leather,Male,https://i.pinimg.com/736x/5d/f6/87/5df6874b5f7a3baec6a0b5920c8df7ae.jpg,12-Sep,Brown,8
29,6,Air Jordan 1 Mid,1,1799.99,2024/02/20,Iconic basketball shoe with classic Jordan design,Leather/Synthetic,Male,https://i.pinimg.com/736x/87/40/e7/8740e752c5fe5e410bef7f069f09ef04.jpg,13-Jul,Black/Green,6
30,6,Dame 8,2,1499.99,2024/01/18,Performance basketball shoe with Bounce cushioning,Textile/Synthetic,Male,https://i.pinimg.com/736x/42/b3/58/42b3583227535f188a35fc6bfdc140f1.jpg,13-Jul,Black/Gold,7
31,6,Clyde All-Pro,3,1399.99,2024/03/08,Modern basketball shoe with PUMA Hoops technology,Synthetic/Mesh,Male,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/194039/03/sv01/fnd/PNA/fmt/png/Clyde-All-Pro-Basketball-Shoes",12-Jul,Blue/White,8
32,6,NB Leaf 574,4,699.99,2024/01/18,Classic court-inspired sneakers with vintage aesthetics,Leather/Synthetic,Female,https://i.pinimg.com/736x/0f/98/05/0f9805f202293ee1ac116409d69090c4.jpg,10-May,White/Blue,10
33,7,N-Metcon 9,1,1599.99,2024/03/12,Cross-training shoe built for versatile workouts,Synthetic/Mesh,Male,https://i.pinimg.com/736x/13/87/2e/13872ee99c517f8ab921992120228b6b.jpg,12-Jul,Black/Blue,9
34,7,UA HOVR Rise 4,7,1299.99,2024/02/08,Training shoe with HOVR cushioning technology,Mesh/Synthetic,Female,https://i.pinimg.com/736x/d9/25/8e/d9258e4200f2cdf39c5dd76688fc7c38.jpg,10-May,White/Pink,10
35,7,Nano X3,5,1399.99,2024/01/22,CrossFit training shoe with enhanced stability and durability,Synthetic/Textile,Male,https://i.pinimg.com/736x/18/b4/e7/18b4e7fef3457cdf0b8c86ed157afdf4.jpg,13-Jul,Black/Red,1
36,7,Gel-Cumulus 26,6,1599.99,2024/01/10,Neutral running shoe with GEL technology for superior shock absorption,Mesh/Synthetic,Female,https://i.pinimg.com/1200x/6a/32/24/6a32243c45aadea1456f45e768a1ff37.jpg,11-May,Pink/White,3
37,8,Arizona Sandal Suite,11,899.99,2024/01/22,Classic two-strap sandal with contoured footbed,Birko-Flor,Prefer not to say,https://i.pinimg.com/736x/77/28/b4/7728b4b399ee1b1ea2c644478b903891.jpg,12-Jun,Brown,2
38,8,Calm Sandals,1,649.99,2024/02/18,Minimalist slip-on sandals with soft foam cushioning,Foam/Rubber,Prefer not to say,https://i.pinimg.com/736x/e3/b0/f3/e3b0f35257197971df54dcfe4afd7898.jpg,12-Jun,Black,3
39,8,Steve Madden Platform,11,1199.99,2024/03/08,Trendy platform sandals with chunky sole design,Synthetic,Female,https://i.pinimg.com/736x/5b/5e/1f/5b5e1f46bc6e731d6f3f1753c10f67c5.jpg,10-May,Beige,4
40,8,Boston Clog,11,1299.99,2024/02/25,Soft footbed suede clogs with adjustable strap,Suede,Prefer not to say,https://i.pinimg.com/736x/c3/97/3c/c3973c19876b20c7c9acc4ecd7ccc501.jpg,11-Jun,Taupe,5
41,8,Adilette Lite,2,1499.99,2024/01/18,Performance Adidas Orignals Adilette Lite Slide,Textile/Synthetic,Male,https://i.pinimg.com/736x/30/cb/f8/30cbf8743e2437ff5a569bbe816dd53d.jpg,13-Jul,Black,7
42,9,Classic Slip-On,10,749.99,2024/01/28,Iconic slip-on shoe with checkerboard pattern,Canvas,Prefer not to say,https://i.pinimg.com/736x/2d/0c/c2/2d0cc223a9ea3c36ac86257b69bdae61.jpg,12-Jun,Black/White,6
43,9,Adilette Comfort,2,399.99,2024/02/12,Comfortable slip-on slides for post-workout recovery,Synthetic,Prefer not to say,https://i.pinimg.com/736x/86/bc/50/86bc5073c126976750a8142b98973f7f.jpg,12-Jun,Black,7
44,9,Victori One,1,499.99,2024/03/15,Lightweight slip-on slides with textured footbed,Synthetic,Male,https://i.pinimg.com/736x/58/55/15/5855150e4b4f514ad8e8c2714f2ffe19.jpg,12-Jul,Black/White,8
45,9,Comfort Loaf Slip-ons,4,1599.99,2024/02/05,Therapeutic loafers with orthopedic support and cushioned insole,Leather,Male,https://i.pinimg.com/736x/bf/6d/b4/bf6db4ccbdc020fde49e00061790db80.jpg,12-Jul,Brown,9
46,9,NR Slip-ons,4,1749.99,2024/04/05,Ultra-soft comfort slip,Hypoknit,Male,https://i.pinimg.com/736x/8e/9e/d5/8e9ed5e2140f38e0eb69aaca7e017a58.jpg,13-Jul,Navy/Orange,4
47,10,Merrell Moab 3,4,1999.99,2024/03/18,Durable hiking shoe with Vibram outsole and breathable mesh,Suede/Mesh,Male,https://i.pinimg.com/736x/89/85/ea/8985ea773c5ca99ca2c2538cf851a9d0.jpg,13-Jul,Brown/Orange,10
48,10,Salomon X Ultra 4,5,2199.99,2024/02/22,Technical hiking shoe with advanced grip technology,Synthetic/Textile,Female,https://i.pinimg.com/736x/f8/6d/9a/f86d9a53b9d81e0a3f7ce82958a63f6e.jpg,10-May,Grey/Blue,1
49,10,Columbia Redmond III,7,1299.99,2024/01/16,Waterproof hiking shoe with Omni-Grip outsole,Leather/Mesh,Male,https://i.pinimg.com/736x/fc/dd/79/fcdd798c4ca6cc020b977b623035a72e.jpg,12-Jul,Brown,2
50,10,Gel-Venture 9,6,999.99,2024/03/01,Trail running shoe with GEL technology for outdoor adventures,Synthetic/Mesh,Female,https://i.pinimg.com/736x/a7/dc/57/a7dc5740ea7ed285ecf6735b77026eb8.jpg,10-May,Black/Pink,3
51,21,adidas torsion 54,3,78,2025/05/26,deded,,Prefer not to say,https://nikeclprod.vteximg.com.br/arquivos/ids/454558-1000-1000/DH6927_111_E_PREM.jpg?v=637860619948800000,,Black,
52,2,Pink Handball Spezial,2,1899,2025/05/26,"Originally designed for fast-paced indoor sports, these adidas Handball Spezial Shoes playing days are done but keep your style game strong. Crafted for comfort, their leather and textile upper surrounds a synthetic lining. Underneath, a rubber outsole maintains grip on city streets and beyond. A timeless T-toe classic, the Spezial stands out with serrated 3-Stripes and gold-letter branding along the side. Bring the energy and attitude of sport to your everyday hustle with these iconic low-profile trainers.",,Prefer not to say,https://i.pinimg.com/736x/2e/44/a4/2e44a4870355edb5ce85ff0dc5fc4d3f.jpg,,Black,
53,20,adidas torsion 59,3,7800,2025/05/26,ededed,,Prefer not to say,https://nikeclprod.vteximg.com.br/arquivos/ids/454558-1000-1000/DH6927_111_E_PREM.jpg?v=637860619948800000,,Black,
54,2,Blue Handball Spezial,2,1899,2025/05/26,"A retro classic reborn. Originally released in the 70s, the Handball Spezial has been revived for today. The suede and textile upper provides a vintage look with modern comfort while a gum rubber outsole offers grip and durability. A legend of the adidas archives, these shoes continue their legacy of laid-back cool.",,Prefer not to say,https://i.pinimg.com/736x/c6/b9/31/c6b931d21b699e893f22fb6916259769.jpg,,Black,
55,3,nike airmax 97,5,2800,2025/05/26,dfeffgr,suede,Female,https://nikeclprod.vteximg.com.br/arquivos/ids/454558-1000-1000/DH6927_111_E_PREM.jpg?v=637860619948800000,07-Jun,redo,9
